fold,accuracy,f1_up,f1_down,f1_macro,actual_up_share,pred_up_share,n
1,0.6901121304791029,0.6337349397590362,0.7314487632508834,0.6825918515049598,0.46075433231396534,0.3853211009174312,981
2,0.7326633165829146,0.6928406466512702,0.7633451957295374,0.7280929211904038,0.4402010050251256,0.4301507537688442,995
3,0.6843137254901961,0.6631799163179917,0.7029520295202952,0.6830659729191435,0.45098039215686275,0.48627450980392156,1020
4,0.6199052132701421,0.6677713338856669,0.5559246954595792,0.6118480146726231,0.44360189573459713,0.7004739336492891,1055
5,0.6762152777777778,0.5046480743691899,0.7595099935525468,0.6320790339608684,0.4444444444444444,0.2092013888888889,1152
