bucket,MAE,RMSE,MAPE,n,fold,model
d8-14,3.952082716749553,5.475944480026449,122.37860795089621,242.0,4,known_only
d15-21,4.240847759480691,5.559418944838127,137.7473759541919,235.0,4,known_only
d22-30,9.607499534488667,16.170880163990155,81.30935181045858,329.0,4,known_only
d1-7,3.7131382673551347,5.20229249712444,85.89270072752298,249.0,4,baseline_flat_last7
d8-14,3.6251475796930346,5.044221715032605,107.44419396801679,242.0,4,baseline_flat_last7
d15-21,3.5714285714285716,4.698065491885387,110.726954379116,235.0,4,baseline_flat_last7
d22-30,11.595310464611376,21.150527882896995,71.00832195871803,329.0,4,baseline_flat_last7
d1-7,3.91508892713712,5.439174956841362,92.78418255467551,249.0,4,baseline_rolling7_shifted_1step
d8-14,3.047815820543094,4.131084931191786,87.25168523272242,242.0,4,baseline_rolling7_shifted_1step
d15-21,2.854103343465046,3.810115202322861,78.55799796408355,235.0,4,baseline_rolling7_shifted_1step
d22-30,10.05254016500217,18.80934316004352,59.24490870433233,329.0,4,baseline_rolling7_shifted_1step
d1-7,6.370018651802091,10.37515650242433,52.220830050701416,272.0,5,full_recursive
d8-14,6.80914985545366,10.618450617992112,56.47571073841677,270.0,5,full_recursive
d15-21,8.556767577218851,12.403228199748039,56.54732425758326,273.0,5,full_recursive
d22-30,5.322881213656198,8.309658738852232,61.3214666825254,337.0,5,full_recursive
d1-7,8.291858276837738,12.614648436773821,55.34297461290555,272.0,5,known_only
d8-14,7.809852984441334,12.33644290680165,57.24859771561436,270.0,5,known_only
d15-21,9.506626742035047,14.14994553694122,58.86465213817036,273.0,5,known_only
d22-30,6.084250641657882,10.210117361159922,58.3126163398819,337.0,5,known_only
d1-7,6.57405462184874,9.23846657762436,85.62566953416805,272.0,5,baseline_flat_last7
d8-14,6.597354497354497,9.11156599716179,98.41688516569582,270.0,5,baseline_flat_last7
d15-21,5.793301936159079,8.26364823705858,76.64089721825516,273.0,5,baseline_flat_last7
d22-30,8.706655362441712,12.489300210745721,144.0796594447562,337.0,5,baseline_flat_last7
d1-7,7.526260504201681,10.441628754385867,92.71410747124726,272.0,5,baseline_rolling7_shifted_1step
d8-14,4.942328042328043,6.625753141063964,68.59899592097213,270.0,5,baseline_rolling7_shifted_1step
d15-21,5.17948717948718,7.286417097056844,54.56993799392266,273.0,5,baseline_rolling7_shifted_1step
d22-30,6.329376854599406,8.934798167878935,97.07521912283116,337.0,5,baseline_rolling7_shifted_1step
